台词ID	下一句台词ID	显示类型	[对话角色]类型	[对话角色]ID	情绪模组ID	动作ID	眼睛表情路径	是否眨眼
120181015	120181016		1	12076				
120181016	120181017		1	12076				
120181017	120181018		1	12076				
120181018	120181019		1	12076				
120181019	120181020		1	12076				
120181020	120181021		1	1005				
120181021	120181022,120181023		1	1005				
120181022	120181024	1	2					
120181023	120181024	1	2					
120181024	120181025		1	12076				
120181025	120181026		1	12076				
120181026	120181027		1	12076				
120181027	120181028		1	12076				
120181028	120181029		1	1005				
120181029	120181030		1	1005				
120181030			1	1005				
120181201	120181202		1	1005				
120181202	120181203		1	1034				
120181203	120181204		1	1034				
120181204	120181205,120181206		1	1034				
120181205	120181207	1	2					
120181206	120181207	1	2					
120181207	120181208		1	1034				
120181208	120181209		1	1034				
120181209	120181210		1	1034				
120181210	120181211		1	1005				
120181211	120181212,120181213		1	1034				
120181212	120181214	1	2					
120181213	120181214	1	2					
120181214	120181215		1	1034				
120181215	120181216		1	1034				
120181216	120181217		1	1034				
120181217	120181218		1	1005				
120181218	120181219		1	1034				
120181219			1	1034				
120185101	120185102		1	1034				
120185102	120185103	1	2					
120185103	120185104		1	1034				
120185104	120185105		1	1034				
120185105	120185106	1	2					
120185106	120185107		1	1034				
120185107	120185108		1	1034				
120185108	120185109		1	1034				
120185109	120185110	1	2					
120185110	120185111		1	1034				
120185111	120185112		1	1034				
120185112			1	1034				
120189901	120189902		1	1005				
120189902	120189903		1	12076				
120189903			1	12076				
120189904	120189905		1	1005				
120189905			1	12076				
120190101	120190102,120190105,120190109,120190113		1	1034				
120190102	120190103	1	2					
120190103	120190104		1	1034				
120190104	120190101		1	1034				
120190105	120190106	1	2					
120190106	120190107		1	1034				
120190107	120190108		1	1034				
120190108	120190101		1	1034				
120190109	120190110	1	2					
120190110	120190111		1	1034				
120190111	120190112		1	1034				
120190112	120190101		1	1034				
120190113		1	2					
120200101	120200102		1	1039				
120200102	120200103		1	1005				
120200103	120200104		1	1005				
120200104	120200105		1	1039				
120200105	120200106		1	1005				
120200106	120200107		1	1039				
120200107	120200108		1	1039				
120200108	120200109		1	1005				
120200109	120200110,120200111		1	12098				
120200110	120200112	1	2					
120200111	120200112	1	2					
120200112	120200113		1	12098				
120200113	120200114		1	12098				
120200114	120200115		1	12098				
120200115	120200116		1	1005				
120200116	120200117		1	1005				
120200117	120200118		1	1039				
120200118	120200119		1	1039				
120200119	120200120		1	1039				
120200120	120200121		1	1039				
120200121	120200122,120200123		1	1039				
120200122	120200124	1	2					
120200123	120200124	1	2					
120200124	120200125		1	1005				
120200125			1	1005				
120200201	120200202		1	12059				
120200202	120200203		1	12059				
120200203	120200204		1	12059				
120200204	120200205		1	12059				
120200205	120200206		1	12059				
120200206	120200207	1	2					
120200207	120200208		1	12059				
120200208	120200209		1	12059				
120200209	120200210		1	12059				
120200210	120200211		1	12059				
120200211	120200212		1	12059				
120200212			1	1005				
120200301	120200302		1	12060				
120200302	120200303		1	12060				
120200303	120200304		1	12060				
120200304	120200305	1	2					
120200305	120200306		1	12060				
120200306	120200307		1	12060				
120200307	120200308		1	12060				
120200308	120200309		1	12060				
120200309			1	1005				
120200401	120200402		1	12061				
120200402	120200403		1	12095				
120200403	120200404		1	12061				
120200404	120200405		1	12095				
120200405	120200406		1	12061				
120200406	120200407		1	12095				
120200407	120200408		1	1005				
120200408	120200409,120200410		1	12061				
120200409	120200411	1	2					
120200410	120200411	1	2					
120200411	120200412		1	12061				
120200412	120200413		1	12095				
120200413	120200414		1	12061				
120200414	120200415		1	12061				
120200415	120200416		1	12095				
120200416			1	1005				
120200501	120200502		1	3140				
120200502	120200503		1	3140				
120200503	120200504		1	12062				
120200504	120200505		1	12096				
120200505	120200506		1	12096				
120200506	120200507	1	2					
120200507	120200508		1	1037				
120200508	120200509		1	1005				
120200509	120200510		1	1005				
120200510	120200511		1	3140				
120200511	120200512		1	3140				
120200512	120200513		1	12062				
120200513	120200514		1	1037				
120200514	120200515		1	1037				
120200515	120200516		1	1037				
120200516	120200517		1	1037				
120200517	120200518		1	1037				
120200518	120200519		1	12062				
120200519	120200520		1	12062				
120200520	120200521		1	12062				
120200521	120200522,120200523		1	12096				
120200522	120200524	1	2					
120200523	120200524	1	2					
120200524	120200525		1	12096				
120200525	120200526		1	12096				
120200526	120200527		1	12062				
120200527	120200528		1	12062				
120200528	120200529		1	1005				
120200529	120200530		1	1005				
120200530	120200531		1	1005				
120200531	120200532		1	1037				
120200532	120200533		1	1037				
120200533	120200534		1	1037				
120200534	120200535		1	1037				
120200535	120200536		1	1037				
120200536	120200537		1	1037				
120200537	120200538		1	12062				
120200538	120200539		1	1037				
120200539	120200540		1	1037				
120200540	120200541		1	12062				
120200541	120200542		1	1037				
120200542	120200543		1	3140				
120200543	120200544,120200547		1	1037				
120200544	120200545	1	2					
120200545	120200546		1	1037				
120200546			1	1037				
120200547	120200548	1	2					
120200548	120200549		1	1037				
120200549			1	1037				
120200601	120200602		1	1005				
120200602	120200603		1	1005				
120200603	120200604		1	1005				
120200604	120200605		1	1005				
120200605	120200627		1	1005				
120200606	120200607		1	1039				
120200607	120200608		1	1039				
120200608	120200609		1	12097				
120200609	120200610		1	1039				
120200610	120200611		1	1039				
120200611	120200612		1	1039				
120200612	120200613		1	12098				
120200613	120200614		1	1039				
120200614	120200615		1	1039				
120200615	120200616		1	12097				
120200616	120200617		1	1039				
120200617	120200618		1	1005				
120200618	120200619		1	12098				
120200619	120200620	1	2					
120200620	120200621		1	1039				
120200621	120200622		1	1039				
120200622	120200623		1	1039				
120200623	120200624		1	1005				
120200624	120200625		1	1039				
120200625	120200626		1	1039				
120200626			1	1005				
120200627	120200606		1	1005				
120200901	120200902		1	12059				
120200902	120200903		1	12059				
120200903	120200904		1	12059				
120200904	120200905		1	12059				
120200905	120200906		1	12059				
120200906	120200907	1	2					
120200907	120200908		1	12059				
120200908	120200909		1	12059				
120200909	120200910		1	12059				
120200910	120200911		1	12059				
120200911	120200912		1	12059				
120200912			1	1005				
120201001			1	12059				
120201002	120201003		1	12060				
120201003	120201004		1	12060				
120201004	120201005	1	2					
120201005	120201006		1	12060				
120201006	120201007		1	12060				
120201007	120201008		1	12060				
120201008	120201009		1	12060				
120201009			1	1005				
120201101	120201102		1	12061				
120201102	120201103		1	12095				
120201103	120201104		1	12061				
120201104	120201105		1	12095				
120201105	120201106		1	12061				
120201106	120201107		1	12095				
120201107	120201108		1	1005				
120201108	120201109,120201110		1	12061				
120201109	120201111	1	2					
120201110	120201111	1	2					
120201111	120201112		1	12061				
120201112	120201113		1	12095				
120201113	120201114		1	12061				
120201114	120201115		1	12061				
120201115	120201116		1	12095				
120201116			1	1005				
120201201			1	12060				
120201202	120201203		1	12063				
120201203	120201204		1	12062				
120201204	120201205		1	12096				
120201205	120201206		1	12096				
120201206	120201207	1	2					
120201207	120201208		1	1037				
120201208	120201209		1	1005				
120201209	120201210		1	1005				
120201210	120201211		1	12063				
120201211	120201212		1	12063				
120201212	120201213		1	12062				
120201213	120201214		1	1037				
120201214	120201215		1	1037				
120201215	120201216		1	1037				
120201216	120201217		1	1037				
120201217	120201218		1	1037				
120201218	120201219		1	12062				
120201219	120201220		1	12062				
120201220	120201221		1	12062				
120201221	120201222,120201223		1	12096				
120201222	120201224	1	2					
120201223	120201224	1	2					
120201224	120201225		1	12096				
120201225	120201226		1	12096				
120201226	120201227		1	12062				
120201227	120201228		1	12062				
120201228	120201229		1	1005				
120201229	120201230		1	1005				
120201230	120201231		1	1005				
120201231	120201232		1	1037				
120201232	120201233		1	1037				
120201233	120201234		1	1037				
120201234	120201235		1	1037				
120201235	120201236		1	1037				
120201236	120201237		1	1037				
120201237	120201238		1	12062				
120201238	120201239		1	1037				
120201239	120201240		1	1037				
120201240	120201241		1	12062				
120201241	120201242		1	1037				
120201242	120201243		1	12063				
120201243	120201244,120201247		1	1037				
120201244	120201245	1	2					
120201245	120201246		1	1037				
120201246			1	1037				
120201247	120201248	1	2					
120201248	120201249		1	1037				
120201249			1	1037				
120201401	120201402		1	12061				
120201402			1	12095				
120209901	120209902		1	12073				
120209902	120209903		1	12074				
120209903			1	12075				
120209904	120209905		1	1005				
120209905			1	1005				
120210101	120210102		1	1037				
120210102	120210103		1	1037				
120210103	120210104		1	1005				
120210104	120210105		1	1037				
120210105	120210106		1	1037				
120210106	120210107	1	2					
120210107	120210108		1	1037				
120210108	120210109		1	1037				
120210109	120210110		1	1037				
120210110	120210111		1	1037				
120210111	120210112		1	1037				
120210112	120210113		1	1037				
120210113	120210114		1	1037				
120210114	120210115		1	1005				
120210115	120210116		1	1037				
120210116	120210117		1	1037				
120210117	120210118		1	1037				
120210118	120210119,120210123,120210127		1	1037				
120210119	120210120	1	2					
120210120	120210121		1	1037				
120210121	120210122		1	1037				
120210122			1	1037				
120210123	120210124	1	2					
120210124	120210125		1	1037				
120210125	120210126		1	1037				
120210126			1	1037				
120210127	120210128	1	2					
120210128	120210129		1	1037				
120210129	120210130		1	1037				
120210130	120210131		1	1037				
120210131			1	1037				
120210201	120210202		1	1037				
120210202	120210203		1	1037				
120210203	120210204		1	1037				
120210204			1	1005				
120210301	120210302		1	1005				
120210302	120210303		1	1005				
120210303	120210304,120210305		1	1037				
120210304	120210306	1	2					
120210305	120210306	1	2					
120210306	120210307		1	1037				
120210307	120210308		1	1037				
120210308	120210309		1	1037				
120210309	120210310		1	1037				
120210310	120210311		1	1037				
120210311	120210312		1	1005				
120210312	120210313		1	1005				
120210313	120210314		1	1037				
120210314	120210315		1	1037				
120210315	120210316		1	1037				
120210316	120210317		1	1005				
120210317	120210318		1	1037				
120210318	120210319		1	1037				
120210319	120210320		1	1005				
120210320	120210321		1	1037				
120210321	120210322		1	1037				
120210322			1	1005				
120210401	120210402		1	12062				
120210402	120210403		1	12062				
120210403	120210404		1	12062				
120210404	120210405		1	3140				
120210405	120210406		1	1037				
120210406	120210407		1	1037				
120210407	120210408		1	12096				
120210408	120210409		1	1037				
120210409	120210410		1	3140				
120210410	120210411		1	12096				
120210411	120210412		1	12062				
120210412	120210413		1	1037				
120210413	120210414		1	1037				
120210414	120210415		1	12062				
120210415	120210416		1	1037				
120210416	120210417		1	1037				
120210417	120210418		1	12062				
120210418	120210419		1	3140				
120210419	120210420		1	12096				
120210420	120210421		1	12096				
120210421	120210422		1	1037				
120210422	120210423		1	1037				
120210423	120210424		1	12096				
120210424	120210425		1	12096				
120210425	120210426		1	12096				
120210426	120210427		1	1037				
120210427			1	1037				
120210501	120210502		1	1005				
120210502			1	1005				
120210601	120210602		1	1005				
120210602			1	1005				
120210701	120210702		1	1005				
120210702			1	1005				
120210804	120210805		1	1037				
120210805	120210806		1	1037				
120210806	120210807		1	1037				
120210807	120210808		1	1037				
120210808	120210809		1	1037				
120210809	120210810		1	12101				
120210810	120210811		1	12101				
120210811	120210812		1	1037				
120210812	120210813		1	12102				
120210813	120210814		1	12102				
120210814	120210815		1	12101				
120210815	120210816		1	12102				
120210816	120210817		1	1037				
120210817	120210818		1	12102				
120210818	120210819		1	12103				
120210819	120210820		1	12103				
120210820	120210821		1	12103				
120210821	120210822		1	12103				
120210822	120210823		1	1037				
120210823	120210824		1	3133				
120210824	120210825		1	12105				
120210825	120210826		1	12106				
120210826	120210827		1	1037				
120210827	120210828		1	1037				
120210828	120210829		1	1037				
120210829	120210830,120210832		1	1037				
120210830	120210831	1	2					
120210831	120210834		1	1037				
120210832	120210833	1	2					
120210833	120210834		1	1037				
120210834	120210835		1	3147				
120210835	120210836		1	3147				
120210836	120210837		1	1037				
120210837	120210838		1	3147				
120210838	120210839		1	3147				
120210839	120210840		1	3147				
120210840	120210841		1	1037				
120210841	120210842		1	3147				
120210842	120210843		1	1037				
120210843	120210844		1	1037				
120210844	120210845		1	1005				
120210845	120210846		1	1037				
120210846	120210847		1	1005				
120210847			1	1037				
120211001	120211002		1	1037				
120211002	120211003		1	1005				
120211003	120211004		1	1037				
120211004	120211005		1	1037				
120211005	120211006		1	1005				
120211006	120211007	1	2					
120211007	120211008		1	1005				
120211008	120211009		1	1037				
120211009	120211010		1	1037				
120211010	120211011		1	1037				
120211011			1	1005				
120211101	120211102		1	1037				
120211102	120211103		1	1037				
120211103	120211104		1	1005				
120211104	120211105		1	1037				
120211105	120211106		1	1037				
120211106	120211107		1	1037				
120211107	120211108		1	1037				
120211108			1	1005				
120211803	120211804		1	3140				
120211804	120211805		1	12096				
120211805			1	12062				
120219901			1	1037				
120219902			1	1037				
120219903			1	1037				
120219904	120219905		1	1037				
120219905	120219906		1	1037				
120219906			1	1037				
120220101	120220102		1	1005				
120220102	120220103		1	1005				
120220103	120220104		1	1005				
120220104			1	1005				
120220204	120220205		1	1005				
120220205	120220206		1	1005				
120220206	120220207		1	1037				
120220207	120220208		1	1037				
120220208	120220209		1	1005				
120220209	120220210		1	1037				
120220210	120220211		1	1005				
120220211	120220212,120220213		1	1037				
120220212	120220214	1	2					
120220213	120220214	1	2					
120220214	120220215		1	1037				
120220215	120220216		1	1037				
120220216	120220217		1	1037				
120220217	120220218		1	1037				
120220218	120220219		1	1037				
120220219	120220220		1	1037				
120220220	120220221		1	1037				
120220221	120220222		1	1037				
120220222	120220223		1	1005				
120220223	120220224		1	1037				
120220224	120220225		1	1037				
120220225	120220226		1	1005				
120220226	120220227		1	1005				
120220227	120220228		1	1037				
120220228			1	1037				
120220301	120220302		1	1005				
120220302	120220303		1	1005				
120220303	120220304,120220305		1	1037				
120220304	120220306	1	2					
120220305	120220306	1	2					
120220306	120220307		1	1037				
120220307			1	1005				
120220401	120220402		1	1005				
120220402	120220403,120220404		1	1037				
120220403	120220405	1	2					
120220404	120220405	1	2					
120220405	120220406		1	1037				
120220406	120220407		1	1005				
120220407	120220408		1	1005				
120220408	120220409,120220421		1	1005				
120220409	120220410	1	2					
120220410	120220411		1	1005				
120220411	120220412		1	1005				
120220412	120220413		1	1037				
120220413	120220414		1	1037				
120220414	120220415		1	1037				
120220415	120220416		1	1037				
120220416	120220417		1	1005				
120220417	120220418		1	1037				
120220418	120220419		1	1037				
120220419	120220420		1	1037				
120220420			1	1005				
120220421	120220422	1	2					
120220422	120220423		1	1005				
120220423	120220424		1	1005				
120220424	120220425		1	1037				
120220425	120220426		1	1005				
120220426	120220427		1	1037				
120220427	120220428	1	2					
120220428	120220429		1	1037				
120220429	120220430		1	1037				
120220430	120220431		1	1005				
120220431			1	1005				
120220501	120220502		1	1005				
120220502	120220503		1	1005				
120220503	120220504		1	1005				
120220504	120220505		1	1005				
120220505			1	1005				
120220601	120220602		1	1005				
120220602	120220603		1	1005				
120220603	120220604		1	1005				
120220604			1	1005				
120220701	120220702		1	3142				
120220702	120220703		1	3142				
120220703	120220704		1	1005				
120220704	120220705		1	3142				
120220705	120220706		1	3142				
120220706	120220707		1	3142				
120220707	120220708		1	3142				
120220708			1	1005				
120221001	120221002		1	1037				
120221002			1	1037				
120221101	120221102		1	1037				
120221102			1	1037				
120221701			1	1037				
120229901	120229902		1	1005				
120229902	120229903		1	1005				
120229903			1	1005				
120230101	120230102		1	1037				
120230102	120230103		1	1005				
120230103	120230104		1	1037				
120230104	120230105		1	1005				
120230105	120230106		1	1037				
120230106	120230107		1	1037				
120230107	120230108		1	1037				
120230108	120230109		1	1037				
120230109	120230110		1	1037				
120230110	120230111		1	12059				
120230111	120230112		1	1037				
120230112	120230113		1	1037				
120230113	120230114		1	1037				
120230114	120230115		1	1037				
120230115			1	1005				
120230201	120230202		1	1005				
120230202	120230203		1	12178				
120230203	120230204		1	12178				
120230204	120230205		1	1005				
120230205	120230206		1	12178				
120230206	120230207		1	12178				
120230207	120230208	1	2					
120230208	120230209		1	12178				
120230209	120230210		1	12178				
120230210	120230211		1	1005				
120230211	120230212,120230213		1	1005				
120230212	120230214	1	2					
120230213	120230214	1	2					
120230214			1	12178				
120230301	120230302		1	12126				
120230302	120230303		1	12126				
120230303	120230304		1	12126				
120230304	120230305	1	2					
120230305	120230306		1	12126				
120230306	120230307		1	12126				
120230307	120230308		1	1005				
120230308	120230309		1	1005				
120230309	120230310		1	12126				
120230310	120230311		1	12126				
120230311	120230312		1	12126				
120230312	120230313		1	12126				
120230313	120230314		1	12126				
120230314	120230315		1	12126				
120230315	120230316		1	1005				
120230316	120230317	1	2					
120230317	120230318		1	1005				
120230318	120230319		1	1005				
120230319	120230320		1	12126				
120230320	120230321		1	12126				
120230321	120230322		1	12126				
120230322	120230323		1	12126				
120230323	120230324		1	12126				
120230324	120230325		1	1005				
120230325	120230326		1	12126				
120230326	120230327		1	1005				
120230327			1	1005				
120230401	120230402		1	1005				
120230402	120230403		1	1005				
120230403	120230404		1	1005				
120230404	120230405,120230406		1	1037				
120230405	120230407	1	2					
120230406	120230407	1	2					
120230407	120230408		1	1037				
120230408	120230409		1	1037				
120230409	120230410		1	1037				
120230410	120230411		1	1037				
120230411	120230412		1	1037				
120230412	120230413		1	1005				
120230413	120230414		1	1037				
120230414	120230415		1	1037				
120230415	120230416		1	1037				
120230416	120230417		1	1005				
120230417	120230418		1	1037				
120230418	120230419		1	1037				
120230419			1	1037				
120230501	120230502		1	3132				
120230502	120230503	1	2					
120230503	120230504		1	3132				
120230504	120230505		1	3132				
120230505	120230506		1	3132				
120230506	120230507		1	3132				
120230507	120230508		1	3132				
120230508	120230509		1	3132				
120230509	120230510		1	1005				
120230510	120230511		1	3132				
120230511			1	1005				
120230601	120230602		1	12067				
120230602	120230603	1	2					
120230603	120230604		1	12067				
120230604	120230605		1	12067				
120230605	120230606		1	12067				
120230606	120230607		1	12067				
120230607	120230608		1	12067				
120230608			1	1005				
120230801			1	1037				
120230901			1	12178				
120231001			1	12060				
120231101			1	3140				
120231201			1	12101				
120231301			1	3133				
120231401			1	12105				
120231601			1	3132				
120231801			1	12067				
120232001	120232002		1	12178				
120232002			1	12178				
120240101	120240102		1	1037				
120240102	120240103		1	1038				
120240103	120240104		1	1038				
120240104	120240105	1	2					
120240105	120240106		1	1037				
120240106	120240107		1	1037				
120240107	120240108		1	1038				
120240108	120240109		1	1038				
120240109	120240110		1	1038				
120240110	120240111		1	1037				
120240111	120240112		1	1037				
120240112	120240113		1	1038				
120240113	120240114		1	1005				
120240114	120240115		1	1038				
120240115	120240116		1	1038				
120240116	120240117		1	1038				
120240117	120240118		1	1038				
120240118	120240119		1	1037				
120240119	120240120		1	1038				
120240120	120240121		1	1037				
120240121	120240122		1	1037				
120240122	120240123		1	1038				
120240123	120240124		1	1037				
120240124	120240125		1	1038				
120240125	120240127		1	12068				
120240127	120240128		1	1005				
120240128	120240129		1	1037				
120240129	120240130		1	1037				
120240130	120240131		1	1037				
120240131	120240132		1	1037				
120240132	120240133		1	1038				
120240133	120240134		1	1038				
120240134	120240135		1	1038				
120240135	120240136		1	12099				
120240136	120240137		1	12100				
120240137	120240138		1	12099				
120240138	120240139		1	12099				
120240139	120240140		1	12100				
120240140	120240141		1	12100				
120240141	120240142		1	1038				
120240142	120240143		1	1038				
120240143	120240144		1	1038				
120240144	120240145		1	1038				
120240145	120240146		1	12100				
120240146	120240147		1	1038				
120240147	120240148		1	1038				
120240148	120240149		1	1038				
120240149	120240150		1	1038				
120240150	120240151		1	1037				
120240151	120240152		1	1037				
120240152	120240153		1	1038				
120240153	120240154		1	1038				
120240154	120240155		1	1038				
120240155	120240156		1	1005				
120240156	120240157		1	1038				
120240157	120240158		1	1038				
120240158	120240159		1	1038				
120240159	120240160		1	1037				
120240160	120240161		1	1037				
120240161	120240162		1	1038				
120240162	120240163		1	1038				
120240163	120240164		1	12068				
120240164			1	1037				
120240201	120240202		1	12183				
120240202	120240203		1	1037				
120240203	120240204		1	1037				
120240204	120240205		1	1037				
120240205	120240206		1	12183				
120240206	120240207		1	12183				
120240207	120240208		1	1037				
120240208	120240209		1	1037				
120240209	120240210		1	1037				
120240210	120240211		1	1037				
120240211	120240212		1	12183				
120240212	120240213		1	1037				
120240213	120240214		1	1037				
120240214	120240215		1	12183				
120240215	120240216		1	12183				
120240216	120240217		1	1037				
120240217	120240218		1	1037				
120240218	120240219		1	1037				
120240219	120240220		1	12183				
120240220	120240221		1	1037				
120240221	120240222		1	1037				
120240222	120240223		1	1037				
120240223	120240224		1	12183				
120240224	120240225		1	1037				
120240225	120240226		1	1037				
120240226	120240227		1	12183				
120240227	120240228		1	12183				
120240228	120240229		1	1037				
120240229			1	1037				
120240301	120240302		1	1037				
120240302	120240303	1	2					
120240303	120240304		1	1037				
120240304	120240305		1	1037				
120240305	120240306		1	1037				
120240306	120240307	1	2					
120240307	120240308		1	1037				
120240308	120240309		1	1037				
120240309	120240310		1	1037				
120240310	120240311		1	1037				
120240311	120240312		1	1037				
120240312			1	1037				
120240401	120240402		1	1037				
120240402	120240403		1	1037				
120240403	120240404		1	1037				
120240404	120240405		1	1037				
120240405	120240406		1	1005				
120240406	120240407		1	1005				
120240407	120240408		1	1005				
120240408	120240409		1	1037				
120240409	120240410		1	1037				
120240410	120240411,120240412		1	1037				
120240411	120240413	1	2					
120240412	120240413	1	2					
120240413			1	1037				
120240501	120240502							
120240502	120240503							
120240503	120240504							
120240504	120240505							
120240505	120240506							
120240506	120240507							
120240507	120240508							
120240508	120240509							
120240509	120240510							
120240510	120240511							
120240511	120240512							
120240512	120240513							
120240513	120240514							
120240514	120240515							
120240515	120240516							
120240516	120240517							
120240517	120240518							
120240518	120240519							
120240519	120240520							
120240520	120240521							
120240521	120240522							
120240522	120240523							
120240523	120240524							
120240524	120240525							
120240525	120240526							
120240526	120240527							
120240527	120240528							
120240528	120240529							
120240529	120240530							
120240530	120240531							
120240531	120240532							
120240532	120240533							
120240533	120240534							
120240534	120240535							
120240535	120240536							
120240536	120240537							
120240537								
120250101	120250102		1	1005				
120250102	120250103		1	1005				
120250103			1	1005				
120250201	120250202		1	1044				
120250202	120250203		1	1005				
120250203	120250204		1	1005				
120250204	120250205		1	1044				
120250205	120250206		1	1044				
120250206	120250207		1	1044				
120250207	120250208		1	1044				
120250208	120250209,120250211		1	1044				
120250209	120250210	1	2					
120250210	120250213		1	1044				
120250211	120250212	1	2					
120250212	120250213		1	1044				
120250213	120250214		1	1044				
120250214	120250215		1	1044				
120250215	120250216		1	1005				
120250216	120250217	1	2					
120250217	120250218		1	1044				
120250218	120250219		1	1044				
120250219	120250220		1	1005				
120250220	120250221		1	1044				
120250221	120250222,120250223		1	1044				
120250222	120250224	1	2					
120250223	120250224	1	2					
120250224	120250225		1	1044				
120250225	120250226		1	1005				
120250226	120250227		1	1044				
120250227	120250228		1	1005				
120250228	120250229	1	2					
120250229	120250230		1	1044				
120250230	120250231		1	12202				
120250231	120250232		1	12201				
120250232	120250233		1	12202				
120250233	120250234		1	1044				
120250234	120250235		1	12202				
120250235	120250236		1	1044				
120250236	120250237		1	1044				
120250237	120250238		1	1005				
120250238	120250239		1	1044				
120250239	120250240		1	12202				
120250240	120250241		1	1044				
120250241	120250242		1	12202				
120250242	120250243		1	1044				
120250243	120250244		1	1005				
120250244	120250245		1	1044				
120250245	120250246		1	1044				
120250246	120250247	1	2					
120250247	120250248		1	1005				
120250248	120250249		1	1044				
120250249	120250250		1	1044				
120250250	120250251		1	1044				
120250251	120250252		1	1044				
120250252	120250253,120250254		1	1005				
120250253	120250255	1	2					
120250254	120250255	1	2					
120250255	120250256		1	1044				
120250256			1	1044				
120250301	120250302		1	1005				
120250302	120250303		1	1044				
120250303	120250304		1	1044				
120250304	120250305,120250306		1	1044				
120250305	120250307	1	2					
120250306	120250307	1	2					
120250307	120250308		1	1044				
120250308	120250309		1	1044				
120250309	120250310		1	1044				
120250310	120250311		1	1044				
120250311	120250312		1	1005				
120250312	120250313		1	1044				
120250313	120250314		1	1044				
120250314	120250315		1	1044				
120250315	120250316		1	1005				
120250316	120250317		1	1044				
120250317			1	1044				
120250401	120250402,120250403		1	1044				
120250402	120250404	1	2					
120250403	120250404	1	2					
120250404	120250405		1	1044				
120250405	120250406	1	2					
120250406	120250407		1	1044				
120250407	120250408	1	2					
120250408	120250409		1	1044				
120250409	120250410		1	1044				
120250410	120250411		1	1044				
120250411	120250412	1	2					
120250412	120250413		1	1044				
120250413	120250414	1	2					
120250414	120250415		1	1005				
120250415	120250416		1	1005				
120250416	120250417		1	1005				
120250417	120250418		1	1005				
120250418	120250419		1	1005				
120250419	120250420		1	1044				
120250420	120250421		1	1005				
120250421	120250422		1	1044				
120250422	120250423		1	1005				
120250423	120250424		1	1044				
120250424	120250425	1	2					
120250425	120250426		1	1044				
120250426	120250427		1	1044				
120250427	120250428		1	1005				
120250428	120250429,120250430		1	1044				
120250429	120250431	1	2					
120250430	120250431	1	2					
120250431	120250432		1	1044				
120250432			1	1044				
120250501	120250502		1	12202				
120250502	120250503		1	1044				
120250503	120250504		1	12202				
120250504	120250505		1	1044				
120250505	120250506		1	1005				
120250506	120250507		1	1044				
120250507	120250508		1	12202				
120250508	120250509		1	1044				
120250509	120250510		1	12202				
120250510	120250511,120250512		1	1044				
120250511	120250513	1	2					
120250512	120250513	1	2					
120250513	120250514		1	12202				
120250514	120250515		1	1044				
120250515	120250516		1	1044				
120250516	120250517		1	1005				
120250517	120250518	1	2					
120250518	120250519		1	12202				
120250519	120250520		1	12202				
120250520	120250521		1	1005				
120250521	120250522	1	2					
120250522	120250523		1	12202				
120250523	120250524		1	1005				
120250524	120250525		1	1044				
120250525	120250526		1	1044				
120250526	120250527		1	1005				
120250527	120250528	1	2					
120250528	120250529		1	1005				
120250529	120250530		1	12202				
120250530	120250531		1	1005				
120250531	120250532		1	12202				
120250532	120250533		1	1044				
120250533	120250534		1	12202				
120250534	120250535		1	1044				
120250535	120250536		1	1044				
120250536	120250537		1	1005				
120250537	120250538		1	12202				
120250538	120250539		1	1005				
120250539	120250540		1	1044				
120250540	120250541		1	12202				
120250541	120250542		1	12202				
120250542	120250543,120250544		1	12202				
120250543	120250545	1	2					
120250544	120250545	1	2					
120250545	120250546		1	1044				
120250546	120250547		1	1044				
120250547	120250548		1	12201				
120250548	120250549		1	1044				
120250549			1	1044				
120250601	120250602		1	1044				
120250602	120250603		1	1044				
120250603	120250604		1	1044				
120250604	120250605		1	1005				
120250605	120250606		1	1044				
120250606	120250607		1	1005				
120250607	120250608		1	1044				
120250608	120250609		1	1005				
120250609	120250610		1	1044				
120250610	120250611		1	1044				
120250611	120250612		1	1044				
120250612	120250613		1	1044				
120250613	120250614		1	1044				
120250614	120250615		1	1005				
120250615	120250616		1	1044				
120250616	120250617	1	2					
120250617	120250618		1	1044				
120250618	120250619		1	1044				
120250619	120250620		1	1044				
120250620	120250621		1	1044				
120250621	120250622		1	1044				
120250622	120250623		1	1005				
120250623	120250624		1	1044				
120250624	120250625		1	1044				
120250625	120250626		1	1044				
120250626	120250627	1	2					
120250627	120250628		1	1044				
120250628	120250629		1	1044				
120250629	120250630		1	1005				
120250630	120250631		1	1044				
120250631	120250632		1	1044				
120250632	120250633		1	1044				
120250633	120250634	1	2					
120250634	120250635		1	1044				
120250635	120250636		1	1044				
120250636	120250637		1	1044				
120250637	120250638		1	1044				
120250638	120250639	1	2					
120250639	120250640		1	1044				
120250640	120250641		1	1005				
120250641	120250642		1	1044				
120250642	120250643		1	1044				
120250643	120250644,120250645		1	1044				
120250644	120250646	1	2					
120250645	120250646	1	2					
120250646	120250647		1	1044				
120250647	120250648		1	1044				
120250648	120250649		1	1044				
120250649	120250650		1	1044				
120250650	120250651	1	2					
120250651	120250652,120250653		1	1005				
120250652	120250654	1	2					
120250653	120250654	1	2					
120250654	120250655		1	1005				
120250655	120250656		1	1044				
120250656	120250657		1	1044				
120250657	120250658		1	1005				
120250658			1	1044				
120250701	120250702		1	3041				
120250702			1	3041				
120251001	120251002		1	12202				
120251002			1	12202				
120251101			1	12201				
