父任务ID	父任务组	任务类型	启用模式	Lua脚本路径	推荐等级	可重复	任务奖励RewardID	章节ID	事件ID	活动类型
71826		7					171826			1302
71827		7					171827			1302
71828		7					171828			1302
71829		7	1	Actor/Quest/WQ71829			171829			
71901		7	1				552002			
71902		7	1				552003			
71903		7	1				552005			
71904		7	1				552006			
71905		7	1				552007			
71906		7	1				552008			
71907		7	1				552009			
71909		7	1				552010			
71910		7	1				552011			
71911		7	1				552012			
71912		7	1				552013			
71913		7	1				552016			
71914		7	1				552017			
71915		7	1				552018			
71916		7	1				552019			
71917		7	1				552020			
71918		7	1				552022			
71919		7	1				552023			
71920		7	1				552025			
71921		7	1				552004			
71922		7	1				552024			
71923		7	1				552027			
71924		7	1				552028			
71925		7	1				552029			
71926		7	1				552030			
71927		7	1				552031			
71928		7	1				552032			
71929		7	1				552033			
71930		7	1				552034			
71931		7	1				552035			
71932		7	1				552036			
71933		7	1				552038			
71934		7	1				552039			
71935		7	1				552040			
71936		7	1				552041			
71937		7	1				552042			
71938		7	1				552043			
71939		7	1				552044			
71940		7	1				552045			
71941		7	1				552048			
71942		7	1				552050			
71943		7	1				552051			
71944		7	1				552052			
71945		7	1				552053			
71946		7	1				552055			
71947		7	1				552056			
71948		7	1				552057			
71949		7	1				552058			
71950		7	1				552059			
71951		7	1				552060			
71952		7	1				552026			
71953		7	1				552002			
72100	72100	7		Actor/Quest/WQ72100			172100	10025		
72101		7		Actor/Quest/WQ72101						
72102		7		Actor/Quest/WQ72102						
72103		7		Actor/Quest/WQ72103						
72104		7		Actor/Quest/WQ72104						
72105	72100	7	1	Actor/Quest/WQ72105				10025		
72106	72100	7		Actor/Quest/WQ72106			172106	10025		
72107	72100	7		Actor/Quest/WQ72107			172107	10025		
72108	72100	7		Actor/Quest/WQ72108			172108	10025		
72109		7		Actor/Quest/WQ72109			172109			
72110		7		Actor/Quest/WQ72110						
72111	72100	7	1	Actor/Quest/WQ72111						
72112	72112	7		Actor/Quest/WQ72112						
72113	72112	7		Actor/Quest/WQ72113						
72114		7		Actor/Quest/WQ72114			172114	10036		
72115		7		Actor/Quest/WQ72115			172115	10036		
72116		7		Actor/Quest/WQ72116			172116	10036		
72117		7		Actor/Quest/WQ72117			172117	10036		
72118		7		Actor/Quest/WQ72118			172118	10036		
72119		7		Actor/Quest/WQ72119			172119	10036		
72120		7		Actor/Quest/WQ72120			172120	10036		
72121		7		Actor/Quest/WQ72121			172121			
72122		7		Actor/Quest/WQ72122			172122	10036		
72123		7		Actor/Quest/WQ72123			172123			
72124		7		Actor/Quest/WQ72124			172124			
72125		7		Actor/Quest/WQ72125						
72126		7		Actor/Quest/WQ72126						
72127		7		Actor/Quest/WQ72127						
72128		7		Actor/Quest/WQ72128						
72129		7		Actor/Quest/WQ72129			172129	10037		
72130		7		Actor/Quest/WQ72130			172130	10037		
72131		7		Actor/Quest/WQ72131			172131	10037		
72132		7		Actor/Quest/WQ72132			172132	10037		
72133		7		Actor/Quest/WQ72133			172133	10037		
72134		7		Actor/Quest/WQ72134			172134	10037		
72135		7		Actor/Quest/WQ72135						
72136		7		Actor/Quest/WQ72136						
72137		7		Actor/Quest/WQ72137						
72138		7	1	Actor/Quest/WQ72138			172138			
72139		7	1	Actor/Quest/WQ72139						
72140		7	1	Actor/Quest/WQ72140			172140			
72141		7		Actor/Quest/WQ72141			172141			
72142		7		Actor/Quest/WQ72142						
72143		7		Actor/Quest/WQ72143						
72144		7		Actor/Quest/WQ72144			172144			
72145		7		Actor/Quest/WQ72145			172145	10031		
72146		7		Actor/Quest/WQ72146			172146	10031		
72147		7		Actor/Quest/WQ72147			172147	10031		
72148		7		Actor/Quest/WQ72148			172148	10031		
72149		7		Actor/Quest/WQ72149			172149	10031		
72150		7		Actor/Quest/WQ72150			172150			
72151		7	1	Actor/Quest/WQ72151			172151			
72152		7		Actor/Quest/WQ72152						
72153		7	1	Actor/Quest/WQ72153			172153			
72154		7	1	Actor/Quest/WQ72154			172154			
72155		7	1	Actor/Quest/WQ72155			172155	10032		
72156		7	1	Actor/Quest/WQ72156			172156	10032		
72157		7	1	Actor/Quest/WQ72157			172157	10032		
72158		7	1	Actor/Quest/WQ72158			172158	10032		
72159		7		Actor/Quest/WQ72159						
72160		7	1	Actor/Quest/WQ72160						
72161		7	1	Actor/Quest/WQ72161			172161			
72162		7		Actor/Quest/WQ72162			172162			
72163		7	1	Actor/Quest/WQ72163			172163			
72164		7	1	Actor/Quest/WQ72164			172164			
72165		7		Actor/Quest/WQ72165						
72166	72166	7		Actor/Quest/WQ72166			172166	10044		
72167		7		Actor/Quest/WQ72167			172167	10044		
72168		7		Actor/Quest/WQ72168			172168			
72169		7		Actor/Quest/WQ72169			172169			
72170		7		Actor/Quest/WQ72170			172170			
72171		7		Actor/Quest/WQ72171			172171			
72172	72166	7		Actor/Quest/WQ72172			172172	10044		
72173		7		Actor/Quest/WQ72173			172173	10044		
72174		7		Actor/Quest/WQ72174						
72175		7		Actor/Quest/WQ72175			172175			
72176		7	1	Actor/Quest/WQ72176			172176			
72178		7	1	Actor/Quest/WQ72178						
72179		7	1	Actor/Quest/WQ72179						
72180		7		Actor/Quest/WQ72180						
72181		7	1	Actor/Quest/WQ72181						
72182		7		Actor/Quest/WQ72182			172182			
72183		7	1	Actor/Quest/WQ72183			172183			
72184		7	1	Actor/Quest/WQ72184			172184			
72185		7	1	Actor/Quest/WQ72185			172184			
72186		7	1	Actor/Quest/WQ72186						
72187		7	1	Actor/Quest/WQ72187						
72188		7	1	Actor/Quest/WQ72188						
72189		7	1	Actor/Quest/WQ72189						
72193		7	1	Actor/Quest/WQ72193						
72194		7		Actor/Quest/WQ72194						
72195		7		Actor/Quest/WQ72195						
72196		7	1	Actor/Quest/WQ72196			172196			
72197		7	1	Actor/Quest/WQ72197						
72199		7		Actor/Quest/WQ72199			172109			
72200		7		Actor/Quest/WQ72200			172105			
72201		7		Actor/Quest/WQ72201						
72202		7		Actor/Quest/WQ72202						
72203		7		Actor/Quest/WQ72203						
72204		7		Actor/Quest/WQ72204						
72205		7		Actor/Quest/WQ72205						
72206		7		Actor/Quest/WQ72206						
72207		7		Actor/Quest/WQ72207						
72208		7		Actor/Quest/WQ72208						
72209		7	1	Actor/Quest/WQ72209			172209			
72210		7	1	Actor/Quest/WQ72210			172210			
72211		7	1	Actor/Quest/WQ72211			172211			
72212		7	1	Actor/Quest/WQ72212			172212			
72213		7	1	Actor/Quest/WQ72213			172213			
72214		7	1	Actor/Quest/WQ72214			172214			
72215		7	1	Actor/Quest/WQ72215			172215			
72216		7	1	Actor/Quest/WQ72216			172216			
72217		7		Actor/Quest/WQ72217			172217			
72218		7		Actor/Quest/WQ72218			172218			
72219		7	1	Actor/Quest/WQ72219						
72220		7	1	Actor/Quest/WQ72220						
72222		7		Actor/Quest/WQ72222						
72223		7	1	Actor/Quest/WQ72223						
72224		7		Actor/Quest/WQ72224						
72225		7		Actor/Quest/WQ72225						
72226		7		Actor/Quest/WQ72226						
72227		7		Actor/Quest/WQ72227						
72228		7		Actor/Quest/WQ72228						
72229		7		Actor/Quest/WQ72229						
72230		7		Actor/Quest/WQ72230						
72231		7	1	Actor/Quest/WQ72231						
72232		7		Actor/Quest/WQ72232			172232			
72246		7		Actor/Quest/WQ72246						
72251		7		Actor/Quest/WQ72251						
72252		7		Actor/Quest/WQ72252						
72260		7		Actor/Quest/WQ72260			172260			
72650		7	1	Actor/Quest/WQ72650			172650			1402
72651		7	1	Actor/Quest/WQ72651			172651			1204
72652		7	1	Actor/Quest/WQ72652			172652			2001
72653		7		Actor/Quest/WQ72653			172653			2001
72654		7		Actor/Quest/WQ72654			172654			2001
72655		7		Actor/Quest/WQ72655			172655			2001
72656		7		Actor/Quest/WQ72656						2002
72657		7	1	Actor/Quest/WQ72657			172657			
72658		7		Actor/Quest/WQ72658						2200
72659		7	1	Actor/Quest/WQ72659			172659			2103
72660		7	1	Actor/Quest/WQ72660			172660			2102
72661		7	1	Actor/Quest/WQ72661			172661			2103
72662		7	1	Actor/Quest/WQ72662			172662			2103
72663		7	1	Actor/Quest/WQ72663			172663			2103
72664		7	1	Actor/Quest/WQ72664						
72665		7	1	Actor/Quest/WQ72665						
72666		7	1	Actor/Quest/WQ72666						
72667		7	1	Actor/Quest/WQ72667			172667			2103
72668		7	1	Actor/Quest/WQ72668						
72669		7	1	Actor/Quest/WQ72669			172667			2103
72701		7	1	Actor/Quest/WQ72701						
72702		7	1	Actor/Quest/WQ72702						
72703		7	1	Actor/Quest/WQ72703		1				
72704		7	1	Actor/Quest/WQ72704		1				
72705		7	1	Actor/Quest/WQ72705						
72706		7	1	Actor/Quest/WQ72706						
72707		7	1	Actor/Quest/WQ72707						
72708		7	1	Actor/Quest/WQ72708						
72709		7	1	Actor/Quest/WQ72700						
72710		7	1	Actor/Quest/WQ72700						
72712		7	1	Actor/Quest/WQ72712						
72713		7	1	Actor/Quest/WQ72713						
72714		7	1	Actor/Quest/WQ72714						
72715		7	1	Actor/Quest/WQ72715						
72716		7	1	Actor/Quest/WQ72716						
72717		7	1	Actor/Quest/WQ72717						
72718		7	1	Actor/Quest/WQ72718						
72719		7	1	Actor/Quest/WQ72719						
72800		7		Actor/Quest/WQ72800			172800			
72801		7	1	Actor/Quest/WQ72801			172801			
72802		7	1	Actor/Quest/WQ72802			172802			
72803		7	1	Actor/Quest/WQ72803			172803			
72804		7	1	Actor/Quest/WQ72804			172804			
72805		7	1	Actor/Quest/WQ72805						
72806		7	1	Actor/Quest/WQ72806			172806			
72807		7	1	Actor/Quest/WQ72807			172807			
72808		7	1				172808			
72809		7	1	Actor/Quest/WQ72809			172809			
72810		7	1	Actor/Quest/WQ72810						
72811		7	1	Actor/Quest/WQ72811						
72812		7	1	Actor/Quest/WQ72812			172812			
72813		7	1	Actor/Quest/WQ72813			172813			
72902		7	1				553001			
72903		7	1				553002			
72904		7	1				553003			
72905		7	1				553004			
72906		7	1				553005			
72907		7	1				553006			
72908		7	1				553007			
72909		7	1				553008			
72910		7	1				553009			
72911		7	1				553011			
72912		7	1				553014			
72913		7	1				553015			
72914		7	1				553016			
72915		7	1				553017			
72916		7	1				553018			
72917		7	1				553019			
72918		7	1				553020			
72919		7	1				553021			
72920		7	1				553022			
72921		7	1				553023			
72922		7	1				553029			
72923		7	1				553024			
72924		7	1				553025			
72925		7	1				553026			
72926		7	1				553030			
72927		7	1				553032			
72928		7	1				553036			
72929		7	1				553034			
72930		7	1				553012			
72932		7	1				553027			
72933		7	1				553010			
72934		7	1				553028			
72935		7	1				553031			
72937		7	1				553037			
72938		7	1				553038			
72939		7	1				553039			
72940		7	1				553040			
72941		7	1				553041			
72942		7	1				553033			
72943		7	1				553035			
72945		7	1				553042			
79000		7		Actor/Quest/WQ79000			179000			1602
79001		7		Actor/Quest/WQ79001			179001			1602
79002		7		Actor/Quest/WQ79002			179002			1602
79003		7		Actor/Quest/WQ79003			179003			1602
79004		7	1	Actor/Quest/WQ79004			179004			1602
79005		7	1	Actor/Quest/WQ79005			179005			1602
79006		7	1	Actor/Quest/WQ79006						1602
79007		7	1	Actor/Quest/WQ79007						1603
79008		7	1	Actor/Quest/WQ79008			179008			1602
79009		7		Actor/Quest/WQ79009						1602
79010		7		Actor/Quest/WQ79010						1602
79011		7		Actor/Quest/WQ79011						1602
79014		7	1	Actor/Quest/WQ79014						
79015		7	1	Actor/Quest/WQ79015						
79016		7		Actor/Quest/WQ79016						
79017		7		Actor/Quest/WQ79017						1602
90001		5	1	Actor/Quest/IQ90001						
